date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
25-Mar-20," The Governor signed H.B. 2668 to bring more resources into Arizonas health care system by increasing Arizona Health Care Cost Containment System (AHCCCS) provider rates for hospitals, doctors and more.",,,,,,Y,,,,,Y
25-Mar-20, The Governor issued an executive order requiring health care insurance companies to expand telemedicine coverage for all services that would normally be covered for an in-person visit.,,,,,,Y,,,,,Y
25-Mar-20, The Governor announced Arizona has received more than $5.3 million in grant funding from the Department of Health and Human Services (HHS) to help communities provide meals for older adults.,,,,,,,,,Y,,
26-Mar-20, The Governor announced the Arizona Department of Environmental Quality (ADEQ) will waive emissions testing for vehicle owners 65 and older for up to one year to allow them to renew their vehicle registrations.,,,,,,,,,,,Y
26-Mar-20," The Governor issued an executive order with the following provisions:

State agencies and boards will defer requirements to renew licenses that have an expiration date between March 1, 2020 and September 1, 2020 by six months from the expiration date;


State agencies and boards will suspend any rules that prevent or limit the amount of online or alternative learning hours permitted to issue or renew a license; and


State agencies and boards will issue provisional licenses to applicants who have met all other requirements of Arizona statute and administrative code but cannot take the exam remotely.

",,,,,,,,,,,Y
26-Mar-20," The Governor issued an executive order with the following provisions:

Requires hospitals to increase the amount of hospital bed capacity in the state, take steps to optimize staffing levels and maximize critical resources; and


Requires hospitals to activate their facility emergency plans.

",,,,,,Y,,,,,
26-Mar-20," The Governor announced a cooperative agreement with the states largest electric utilities to continue to provide reliable electricity to homes, hospitals, and businesses.",,,,,,,,,,,Y
27-Mar-20, The Governor announced $5 million in new funding to help Arizonans struggling to make rent as part of a Rental Eviction Prevention Assistance Program being launched by the Arizona Department of Housing.,,,,,,,,,,,Y
27-Mar-20," The Governor signed H.B. 2910, legislation to support schools during closures, provide clarity and flexibility on statewide testing requirements and school letter grades, give direction on make-up days and require learning opportunities for students to continue.",,,,,Y,Y,,,,,
27-Mar-20," The Governor signed S.B. 1694, legislation to expand access to unemployment benefits and waiving certain Arizona Department of Economic Security (DES) eligibility requirements.",,,,,,,,,,,Y
28-Mar-20," The Governor signed a bipartisan state budget agreement that adds $50 million for Arizonas COVID-19 response  dollars to assist Arizonans needing eviction assistance, struggling small businesses, food banks and homeless population.",,,,,,,,,Y,,
30-Mar-20," The Governor issued an executive order, Stay Home, Stay Healthy, Stay Connected, to promote increased physical distancing, while encouraging social connectedness among citizens.",,,,,,,,,Y,,Y
30-Mar-20," The Governor announced an initial $6.7 million in funding to support Arizona food banks, nutrition programs and programs that serve the homeless.",,,,,,,,,Y,,
30-Mar-20, The Governor announced a cooperative agreement with the states banks to protect small businesses and families from eviction and foreclosure.,,,,,,,,,,,Y
30-Mar-20, The Governor announced the extension of Arizona school closures through the end of the school year.,,,,,Y,,,,,,
31-Mar-20, The Governor announced the Arizona Department of Liquor Licenses and Control will defer the payment of all liquor licensing fees by 90 days.,,,,,,,,,,,Y
1-Apr-20," The Governor announced the contribution of $250,000 by Arizona Public Service (APS) to the AZ Coronavirus Relief Fund.",,,,,,,,,,,Y
1-Apr-20, The Governor made a request to U.S. Department of Agriculture (USDA) to assist Arizonas dairy farmers by finding solutions to restart the international export of Arizona dairy products to Mexico.,,,,,,,,,,,Y
1-Apr-20, The Governor issued an executive ordered allowing for pets and animals to be examined by their veterinarians through telemedicine.,,,,,,Y,,,,,Y
1-Apr-20, The Governor requested a Presidential Major Disaster Declaration from the federal government  a procedural step to pull down necessary federal assets and resources to assist in the states response efforts.,,,,,,,,,,,Y
2-Apr-20," The Governor announced the extension of the deadline for filing and paying State and Federal income tax has been extended from April 15th, 2020 until July 15th, 2020.",,,,,,,,,,,Y
2-Apr-20, The Governor issued an executive order allowing pharmacists to dispense emergency refills of maintenance medications for a 90-day supply and an additional 90-day supply if needed.,,,,,,,,,,,Y
3-Apr-20," The Governor announced the launch of Arizona Enrichment Centers starting Monday, April 6 to offer childcare for the children of first responders, critical healthcare workers, and essential public sector workers, including child safety workers.",,,,,,,,,,,Y
3-Apr-20," The Governor released additional guidance on essential services and recreational activities including the suspension of operations of barbers, tanning salons, spas, as well as the operation of communal pools at hotels, condominiums, apartment complexes and parks. ",,,,,,,,,,,Y
4-Apr-20, The Governor announced that President Trump in coordination with the Federal Emergency Management Agency (FEMA) approved Arizonas request for a Presidential Major Disaster Declaration for the state.,,,,,,,Y,,,,
4-Apr-20, The Governor announced that the state has secured a new agreement with Honeywell to produce over 6 million N95 masks for the state of Arizona over the next 12 months. ,,,,,,,,,,,Y
6-Apr-20, The Governor issued an executive order halting      evictions in the state for small businesses and nonprofits that are unable      to pay rent due to financial hardship. ,,,,,,,,,,,Y
7-Apr-20," The Governor issued an executive order allowing restaurants to repackage and sell grocery items they have on hand, including items not normally packaged and labeled for resale.",,,,,,,,,,,Y
7-Apr-20, The Governor issued an executive order expanding healthcare reporting requirements on hospitals and health care providers to better track data.,,,,,,,,,,,Y
7-Apr-20," The Governor issued an executive order enhancing and reinforcing health protection in Arizona residential care institutions, nursing care institutions and related health care facilities.",,,,,,,,,,,Y
7-Apr-20, The Governor issued an executive order to increase quarantine guidelines for out-of-state travelers from an area with substantial community spread through any airport in the state must isolate or quarantine themselves upon arrival for 14 days.,,,,,,,,Y,,,
7-Apr-20, The Governor announced $2 million in funding to put 400 Arizona Goodwill employees back to work and expand support and services to Arizonans in need as a part of the state COVID-19 relief package.,,,,,,,,,,,Y
7-Apr-20, The Governor took action to help ensure critical supplies and goods Arizonans rely on can be transported more easily by temporarily waiving certain commercial vehicles regulations. ,,,,,,,,,,,Y
8-Apr-20, The Governor announced a Mobile Hotspot Donation Drive      to help K-12 students without home internet access online curriculum.,,,,,,,,,,,Y
8-Apr-20, The Governor announced that the Arizona Health Care      Cost Containment System (AHCCCS) will work with its provider partners to      make available more than $50 million in accelerated hospital payments and      advances and extend an additional $5 million in new COVID-19 related      funding to Critical Access Hospitals throughout the state. A Critical      Access Hospital is a rural acute care hospital located more than a 35-mile      drive from any other hospital.,,,,,,,,,,,Y
8-Apr-20," The Governor issued an executive order allowing      Arizonans to get documents notarized remotely, while ensuring secure and      effective verification processes.",,,,,,,,,,,Y
8-Apr-20, The Governor announced the Arizona Department of      Economic Security (DES) was awarded $9.8M in funding from the federal      government for the Emergency Food Assistance Program (TEFAP).,,,,,,,,,,,Y
9-Apr-20," The Governor announced that residents currently receiving food assistance through the Supplemental Nutrition Assistance Program (SNAP) will be able to use benefits for online food purchases with currently-authorized SNAP online retailers, Walmart and Amazon.",,,,,,,,,,,Y
9-Apr-20, The Governor issued an executive order providing Good Samaritan protections to help boost medical staffing levels and provide certainty and liability protections to health care professionals serving on the front lines. ,,,,,,,,,,,Y
14-Apr-20, The Governor issued an executive order to help meet the critical demand for nursing home and long-term care facility staff.,,,,,,Y,,,,,Y
14-Apr-20, The Governor issued an executive order to further expand telemedicine options for state workers compensation plan.,,,,,,Y,,,,,Y
14-Apr-20, The Governor issued an executive order to continue to increase the data received by health care providers and share limited data with law enforcement personnel and first responders.,,,,,,Y,,,,,Y
15-Apr-20, The Governor issued an executive order allowing food trucks to operate at eight Arizona Department of Transportation rest areas. ,,Y,,,,,,,,,
21-Apr-20, The Governor and the Arizona Department of Economic Security (DES) announced the USDA Food and Nutrition Service (FNS) authorized DES to provide Arizona P-EBT Pandemic School Meal Replacement Benefits to households with children who are eligible for free or reduced-price school meals.,,,,,,,,,,,Y
22-Apr-20," The Governor issued an executive order removing restrictions on conducting elective surgeries for hospitals, health care facilities and providers that meet certain preparedness criteria.",,Y,,,,Y,,,,,
29-Apr-20," The Governor issued an executive order extending physical distancing measures while laying out a step-by-step approach to continue reenergizing Arizonas economy, allowing businesses to begin partial operations next week. ",,Y,,,,,,,,,
1-May-20," The Governor released      additional guidelines as retail businesses resume partial operations that      permit the selling of goods through delivery service, window service,      walk-up service, drive-through service, drive-up service, curbside      delivery or appointment provided they establish and implement sanitation      and physical distancing measures.",,Y,,,,,,,,,
4-May-20," The Governor issued an executive order allowing cosmetologists and barber shops to resume appointment-based services this Friday, May 8 and restaurants and coffee shops to resume dine-in services with physical distancing measures on Monday, May 11.",,Y,,,,,,,,,
4-May-20," The Governor issued an executive order requiring expanded reporting of COVID-19 related information to residents of long-term care facilities, as well as their next of kin and guardians and prospective residents",,,,,,,,,,,Y
7-May-20," The Governor announced retail businesses, cosmetologists and barbers that take necessary precautions to keep customers and employees safe and healthy can resume partial operations.",,Y,,,,,,,,,
8-May-20," The Governor issued an amended Safer at Home Order. The order which includes an expanded list of items including non-work-related gatherings, retailers, athletic facilities and others to reopen will be effective Monday, May 11, 2020 and will expire on Friday, May 22, 2020 at 5:00 PM.",,Y,,,,,,,,,
8-May-20, The Governor issued their eighth Supplemental State of Emergency providing liability protections for businesses and health care providers among other provisions.,,,,,,,Y,,,,
8-May-20," The Governor issued their ninth Supplemental State of Emergency providing operating loans and lines of credit financing to rural electric cooperatives, guidance on the administration of the July 14, 2020 Runoff election, protection against evictions based on nonpayment, and extension of the State of Emergency for another sixty days.",,,,,,,Y,,,,
8-May-20,- The Centers for Medicare and Medicaid Services (CMS) approved Alabamas second request for a Medicaid 1135 waiver. The waiver allows Alabama to provide flexibilities in Medicaid provider screening and enrollment and to lift prior authorization requirements.,,,,,,,,,,,Y
12-May-20, The Governor announced that the Stay at Home order in Arizona will be ending on May 15 and replaced by new guidance for the next stage of economic recovery.Also announced was an accelerated plan to test all staff and residents of long-term care facilities as well as individuals within Arizonas prisons,,,,,,,,,,,Y
12-May-20," The Department of Health Services released additional guidance for places of worship, businesses and customers as more industries resume partial operations.",,Y,,,,,,,,,
14-May-20," The Governor announced a $100,000 grant from the AZ Coronavirus Relief Fund to programs across the state supporting Arizona kids with special needs.",,,,,,,,,Y,,
14-May-20," The Governor announced that the Arizona Enrichment Centers Program will expand to offer prioritized child care for the children of grocery store employees and food bank workers. Enrichment Centers have already been providing child care for first responders, critical health care workers and essential public sector workers.",,,,,,,,,,,Y
15-May-20," The Governor announced $300,000 in funding from the AZ Coronavirus Relief Fund has been allocated to organizations across the state that support senior citizens, the homebound and those who are medically fragile.",,,,,,,,,Y,,
15-May-20, The Governor announced a partnership with the University of Arizona to expand antibody testing to all health care workers and first responders in the state.,,,,Y,,,,,,,
18-May-20," The Governor announced $100,000 in funding from the AZ Coronavirus Relief Fund has been allocated to organizations that support foster families.",,,,,,,,,Y,,
20-May-20," The Governor announced $300,000 in grant funding to organizations providing Arizonans in need with rental assistance, telehealth and transportation to health services.",,,,,,,,,Y,,
20-May-20," The Governor announced $500,000 from the AZ Coronavirus Relief Fund has been allocated to organizations that provide out-of-school child care in the state.",,,,,,,,,Y,,
20-May-20, The Arizona Department of Health Services announced it will partner with the University of Arizona to get antibody testing for all correctional officers in state prisons.,,,,Y,,,,,,,
27-May-20, The Governor announced the state will be providing nearly $600 million in coronavirus relief and recovery dollars for local Arizona governments and nonprofits.,,,,,,,,,Y,,
28-May-20, The Governor issued an executive order increasing collaboration among Arizona hospitals and ensuring patient transfers can take place smoothly and efficiently if needs arise.,,,,,,Y,,,,,
28-May-20, The Governor issued an executive order protecting the health of kids in school-based child care while allowing for increased child care capacity.,,,,,,Y,,,,,Y
28-May-20," The Governor announced schools will reopen for in-person instruction in a few months along with youth summer leagues, summer schools and day camps also can reopen, with some starting as soon as next week.",,,,,,,,,,,
